clear_tweet;sentiment
Biden Drops Public Option Betrays Campaign Promise coMQYp8ZidP6 MedicareForAll;0.0
The Memo Biden gambles that he can do it all TheHill coFFkLFpu9Ro coCVqy0njCHO;0.0
Reflecting his philosophy POTUS Oval Office features portraits of Washington Lincoln Jefferson Hamilton and coOs8ACy7LsR;0.0
I think America need comprehensive amp efficient counterextremism strategy To fight extreme ideas from all directi cogXgNoHzHxb;-0.125
Quality memes and the usual financial updates biden bernie inauguration money financialadvice coWPjlDEa8kn;-0.125
I do not waste my Sundays SundayFunday Biden costHZ0e9aNL;0.1
demonocrats Biden 2Stopped construction on the wall on the border with MexicoIt lifted the ban on ent coKwcuktjE5K;0.0
Another American of Palestinian Descent Appointed in Biden AdministrationMaher Bitar was appointed senior direc coqsRh1MDu0c;0.0
Biden Fact Trump incited followers with rhetoric thousands of lunatics stormed Capitol and 5people were killed coq8IRwh1SBk;-0.2
So far Trump was 100 right about JoeBiden He told supporters for months that Biden will destroy the Oil indust coCAESNHNnvy;0.061904761904761886
Biden is an idiot cosSpzaxIjae;-0.8
SenSchumer Do you think youre the king of the American people Its obvious that Biden is a place holder with strings attached;0.0
NEW the Fed meets how will markets respond and what are the prospects amp timing for more US stimulus Find out on coV0V7mLJAyC;0.3181818181818182
SpaceWatchGL Column BidenHarris Space Policy Building on the Space Force and Artemis Artemis Biden co7p4lKCFx2f;0.0
brexit if you have to chose between believing borisjohnson or biden about a possible freetrade deal with cutoff coIiYzlzurV2;0.0
Biden and friends dont need Antifas anymore after the inauguration all major social media had banned the ext coW0rn2f18NO;0.04791666666666666
MrFezziwig5 I cant quite see IanHislop1 or his band of lefties on HIGNFY joking about Bidens compulsion to gro coyOKsSV1kGF;0.0
YELLOW amandagorman inauguration biden laureate damian2649 zerogravitypoet poem poetry waltwhitman covrVRC01g1A;0.0
Joe Biden is a Disaster He hasnt fired anyone via tweet embraced white supremacist or tossed Putins salad yet cozY82r6Xxho;0.0
So Biden is not pulling out of Iraq OR Afghanistan and is already committing more troopsvehicles to Syria as co1hKi5BmHro;0.5
demonocrats Biden returned the USA to the Paris Climate AgreementReturned the USA to BGates NGO coV6Jf8T0n4M;0.0
Biden quickly purges Trump allies from Voice of America parent agency reports coJhvqFayYqf;0.3333333333333333
The difference between Trump and Biden gt coQ1fvclR3go;0.0
Who said that Biden is too old You can see him running there Biden POTUS46 bidenruns co9jxi7HiCL1;0.1
Acting DHS Deputy Head During Capitol Riot Reveals Pelosi Demanded Machine Guns to Be Deployed Against Civilians coc5522jKSrf;0.0
US CDC says another 100000 lives could be lost to COVID19 in just the next month More that 400000 covid death coClxujDSSqQ;0.25
JessiDanielle03 Half of the voters didnt vote for Biden The election was For Trump or Against Trump;-0.16666666666666666
Shree1420 Pray tell me where America is great again Oh yes Because we have a real PRESIDENT now You sure did i coi5E66A7Gex;0.5
Biden fucking up America and we arent even at week 1 coM6tifuSI1f;-0.6
Dramatically Transition Dynamic Experiences with domains biden trump Buy domain cotyKa3FfomD co9tiR4GlrHC;0.0
Check out Jeromy Richardsons video TikTok RobinWilliams on Biden co3QnizD1y7K;0.0
This president came to work No time to waste MyPresidemtBiden Biden BidensAmerica coZBFyDfbNWq;-0.2
Biden I cant confirm this but since his oath of office I dont think Biden has been golfing even once;0.0
Expect to see more of this since the democrats continue impeachment of a President no longer in office biden comEmgibbbq3;0.5
Will he AND more importantly can heBiden Iran US JCPOA cof3PJpgmHot;0.45
Expect another 911 with Biden as president just to give them an excuse to invade a middle east country and gain f colKaw5a0KCF;-0.025
TybrynM JoeBiden BorisJohnson Maggie have reported on Borisjohnson for 13 years Nothing I havent seen he wi copYuouz5nnx;0.0
eric swalwell A DEMOCRAT FROM CALIFORNIA A CHINESE SPY SEDUCED HIM HE HIRED HER FRIEND AS AN AIDE AND THEY STOL copIL6xvE3Ru;0.0
Youre grasping people We are so lucky to have this sort of scandal Im grateful for how WeThePeople stood and coDNQQYWHNXG;0.3333333333333333
How many Democrats in every one of Obamas 57 states have monetary gain in the production of the now mandated by t coGUktC4vbtQ;0.5
coPnDSRR91FX Even if you disagreed with many Trump policies he did a lot of beneficial bipartisan thin coNxHsMHIis4;0.04999999999999999
cspanwj How much is risen to POTUS POTUS46 intellectually to be graded as LIBERATED CATHOLIC PRESIDENT JOE BIDEN coAXJF9YmnOe;0.16666666666666666
COVID19 gt the resulting economic crisis Fake news from Biden I dont belive it coPdHbXdawUE;-0.15
Zibundile ZeldalaGrangeSA errolbsk JoeBiden Africa was destroyed by Corrupt men like Biden;-0.5
I have learned that much from biden whatever your age you can still do as much good as time allows you to and giv coAlOo78kgkO;0.44999999999999996
China is stealing our country through Bidens lockdown his stupid fiscal policies and mostly his unAmericanism;-0.14999999999999997
jonlis1 Definitely The UKs massive inferiority complex is clear to see in this Biden phones BorisJohnson propaganda effort;-0.059999999999999984
NigelFarage Atifas bitch Biden is now in the White House The next four years do not look pretty;0.08333333333333333
garybhoy16 JamieBrysonCPNI pbmosligo BrandonLewis Dublin uses threats to cover up evil practice by doctors Den coG9wzK9hv02;-1.0
Bidens decrees vault America back onto the global stage A whiplashed world wonders for how long co1MVzUrWyXm;-0.016666666666666666
I remember when Democrats were antiwar US Read BIDEN sends 200 troops and 40 trucks of equipment to Syrian coN0CTXstOLt;0.0
