text
@sumrkhan1 This is a peculiar situation. What happened to the chain of command? Who gave the capital police authori… https://t.co/ugUWy6CDv7
#Breaking: watch #Biden closely....he will have an authoritarian presidency too! Folks were mad about #Trump and hi… https://t.co/UFwLduysNr
@CharmingDope 👀
@KJ313_ 👋🏽
@dark_dboy Sup bro... I’m in the 313 too. Dm me.
@313ariesfreak Sup
@deeznut85581568 Sup
@throatlotion4 I think he ended up getting banned because of this. Save this video! Lmao
@Bigdicktop19 Sup
@ChocolateDivk 🤚🏽
@PrinceRez2 Sup guy
@DickOnBrix Sup
@KingDaniel912 Lol
@freaky19901990 Sup
